Name,Address,PostalCode,PhoneNumber,InstitutionsCategory,InstitutionsType
Priv. VS; HS; SS f. sehbeh. u. blinde Kinder (SPZ),Leonhardstraße 130,8010,+43(0)316327075,Pflichtschulen,Sonderschule für Kinder mit sonderpäd. Förderbedarf
Landessonderschule für körperbeh. und mehrfach behinderte Kinder,Kalvariengürtel 64,8020,+43(0)316672136,Pflichtschulen,Sonderschule für Kinder mit sonderpäd. Förderbedarf
VS Graz-Jägergrund,Unterer Bründlweg 21,8053,+43(0)3168726960,Pflichtschulen,Volksschule
Freie Waldorfschule,St.-Peter-Hauptstraße 182,8010,+43(0)316402606,Pflichtschulen,Neue Mittelschule
VS Sacré Coeur,Petersgasse 1,8010,+43(0)31682800663,Pflichtschulen,Volksschule
HS Graz-Dr. Renner,Eduard-Keil-Gasse 41,8041,+43(0)3168726875,Pflichtschulen,Neue Mittelschule
Private HS d. Vereins der Grazer Schulschwestern,Georgigasse 84,8020,+43(0)31658334112,Pflichtschulen,Neue Mittelschule
Sporthauptschule Graz,Brucknerstraße 49,8010,+43(0)3168726925,Pflichtschulen,Neue Mittelschule
HS Graz-Puntigam,Gradnerstraße 24,8055,+43(0)3168726895,Pflichtschulen,Neue Mittelschule
VS Graz-Ferdinandeum,Färbergasse 11,8010,+43(0)3168726910,Pflichtschulen,Volksschule
Heilstättenschule LKH-Universitätsklinikum Graz (SPZ),Brockmanngasse 119,8010,+43(0)3168726735,Pflichtschulen,Sonderschule für Kinder mit sonderpäd. Förderbedarf
VS Graz-Elisabeth,Elisabethstraße 56,8010,+43(0)3168726710,Pflichtschulen,Volksschule
Musik-HS Graz-Ferdinandeum,Färbergasse 11,8010,+43(0)3168726815,Pflichtschulen,Neue Mittelschule
TU-Graz; Institute der Falkultät für Bauingenieurwissenschaften,Lessingstraße 25,8010,+43(0)3168734341,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
MED Institut für Experimentelle und Klinische Pharmakologie,Universitätsplatz 4,8010,+43(0)3163804309,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
MED Institut für Pathophysiologie & Immunologie,Heinrichstraße 31a,8010,,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
MED Institut für Gerichtliche Medizin,Universitätsplatz 4/II,8010,+43(0)3163804325,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
MED Institut für Humangenetik,Harrachgasse 21/8,8010,+43(0)3163804111,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
MED Institut für Hygiene; Mikrobiologie und Umweltmedizin,Universitätsplatz 4,8010,+43(0)3163804360,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
MED Institut für Sozialmedizin und Epidemiologie,Universitätsplatz 4/III,8010,+43(0)3163804398,Universitäten; Hoch- & Fachhochschulen,Medizinische Universität Graz
FH Joanneum; Bank- und Versiucherungswirtschaft,Eggenberger Allee 11,8020,+43(0)31654537100,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
FH Joanneum; Ausstellungs- u. Museumsdesign,Alte Poststraße 152,8020,+43(0)31654538600,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
FH Joanneum; Informationsmanagement,Alte Poststraße 147,8020,+43(0)31654538500,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
FH Joanneum; International Management,Eggenberger Allee 11,8020,+43(0)31654536800,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
FH Joanneum; Journalismuas und Public Relations (PR),Alte Poststraße 152,8020,+43(0)31654538660,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
TU-Graz; Institute der Fakultät für Technische Chemie; Verfahrenstechnik u. Biotechnologie,Technikerstraße 4,8010,+43(0)3168738301,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
FH Joanneum; Soziale Arbeit,Eggenberger Allee 11,8020,+43(0)31654538700,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
TU-Graz; Institute der Fakultät für Maschinenbau u.Wirtschaftswissen,Inffeldgasse 21b,8010,+43(0)3168737361,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
TU-Graz; Institute der Fakultät für Maschinenbau u. Wirtschaftswissen,Inffeldgasse 25,8010,+43(0)3168731361,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
TU-Graz; Fakultät für Architektur,Rechbauerstraße 12,8010,+43(0)3168736101,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
TU-Graz; Institut für Holzbau und Holztechnologie,Inffeldgasse 24/I,8010,+43(0)3168734601,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
TU-Graz; Institute der Fakultät für Bauingenieurwissenschaften,Stremayrgasse 10,8010,+43(0)3168738371,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
TU-Graz; Institute der Fakultät für Maschinenbau und Wirtschaftswissen,Kopernikusgasse 24/II,8010,+43(0)3168737111,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
TU-Graz; ISD und Institut für Human-Computer Interfaces,Krenngasse 37,8010,+43(0)3168735301,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
TU-Graz; Institute der Fakultät für Elektro- u. Informationstechnik,Kronesgasse 5,8010,+43(0)3168731621,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
TU-Graz; Institute der Fakultät für Architektur,Inffeldgasse 10/II,8010,+43(0)3168734721,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
KUG Institut 14 Musikästhetik,Leonhardstraße 15,8010,+43(0)3163893140,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
Uni-Graz; Fakultät der Sozial- und Wirtschaftswissenschaften,Universitätsstraße 15,8010,+43(0)316380,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
TU-Graz; Fakultät für Informatik; IICM; CGV,Inffeldgasse 16c,8010,+43(0)3168735613,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
TU-Graz; Fakultät für Informatik; IWM,Inffeldgasse 21a,8010,+43(0)3168739251,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
Uni-Graz; Institut der Fakultät für Sozial- u. Wirtschaftswissenschaften,Elisabethstraße 50b,8010,+43(0)3163807189,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
Uni-Graz; Karl-Franzens-Universität,Attemsgasse 8,8010,+43(0)3163800,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
FH Joanneum; Radiologietechnologie,Eggenberger Allee 13,8020,+43(0)31654536570,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
KUG Institut 2 Klavier,Brandhofgasse 21/III,8010,+43(0)3163893020,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
Uni-Graz; Institut für Soziologie; Frauen- und Geschlechterforschung,Strassoldogasse 10,8010,+43(0)3163807088,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
TU-Graz; Institute der Fakultät für Technische Mathematik u. Technische Physik,Münzgrabenstraße 11,8010,+43(0)3168736475,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
TU-Graz; Fakultät für Technische Chemie; Verfahrenstechnik u. Biotechnologie,Petersgasse 16,8010,+43(0)3168730,Universitäten; Hoch- & Fachhochschulen,Technische Universität Graz
Uni-Graz; Institute der Fakultät für Regional- u. Bildungswissenschaften,Merangasse 70,8010,+43(0)3163802535,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
Uni-Graz; Fakultät der Naturwissenschaften,Universitätsplatz 3,8010,+43(0)3163805000,Universitäten; Hoch- & Fachhochschulen,Karl-Franzens-Universität Graz
FH Joanneum; Architektur und Projektmanagement,Alte Poststraße 152,8020,+43(0)31654538200,Universitäten; Hoch- & Fachhochschulen,Fachhochschule
KUG Institut 15 Alte Musik und Aufführungspraxis,Leonhardstraße 15,8010,+43(0)3163893150,Universitäten; Hoch- & Fachhochschulen,Kunstuniversität Graz
