ElectionID,RegionID,ParentID,RegionName,DistrictName
NR2017,G21099,G21000,Wahlkarten - Feldkirchen,
NR2017,G2A000,G20000,Klagenfurt,
NR2017,G2A099,G2A000,Wahlkarten - Klagenfurt,
NR2017,G2B000,G20000,Villach,
NR2017,G2B099,G2B000,Wahlkarten - Villach,
NR2017,G2C000,G20000,Kärnten West,
NR2017,G2C099,G2C000,Wahlkarten - Kärnten West,
NR2017,G2D000,G20000,Kärnten Ost,
NR2017,G2D099,G2D000,Wahlkarten - Kärnten Ost,
NR2017,G30000,G00000,Niederösterreich,
NR2017,G30099,G30000,Wahlkarten - Niederösterreich,
NR2017,G30100,G3B000,Krems an der Donau(Stadt),
NR2017,G30101,G30100,Krems an der Donau,
NR2017,G30199,G30100,Wahlkarten - Krems an der Donau(Stadt),
NR2017,G30200,G3D000,Sankt Pölten(Stadt),
NR2017,G30201,G30200,St. Pölten,
NR2017,G30299,G30200,Wahlkarten - Sankt Pölten(Stadt),
NR2017,G30300,G3C000,Waidhofen an der Ybbs(Stadt),
NR2017,G30301,G30300,Waidhofen an der Ybbs,
NR2017,G30399,G30300,Wahlkarten - Waidhofen an der Ybbs(Stadt),
NR2017,G30400,G3E000,Wiener Neustadt(Stadt),
NR2017,G30401,G30400,Wiener Neustadt,
NR2017,G30499,G30400,Wahlkarten - Wiener Neustadt(Stadt),
NR2017,G30500,G3C000,Amstetten,
NR2017,G30501,G30500,Allhartsberg,
NR2017,G30502,G30500,Amstetten,
NR2017,G30503,G30500,Ardagger,
NR2017,G30504,G30500,Aschbach-Markt,
NR2017,G30506,G30500,Behamberg,
NR2017,G30507,G30500,Biberbach,
NR2017,G30508,G30500,Ennsdorf,
NR2017,G30509,G30500,Ernsthofen,
NR2017,G30510,G30500,Ertl,
NR2017,G30511,G30500,Euratsfeld,
NR2017,G30512,G30500,Ferschnitz,
NR2017,G30514,G30500,Haag,
NR2017,G30515,G30500,Haidershofen,
NR2017,G30516,G30500,Hollenstein an der Ybbs,
NR2017,G30517,G30500,Kematen an der Ybbs,
NR2017,G30520,G30500,Neuhofen an der Ybbs,
NR2017,G30521,G30500,Neustadtl an der Donau,
NR2017,G30522,G30500,Oed-Oehling,
NR2017,G30524,G30500,Opponitz,
NR2017,G30526,G30500,St. Georgen am Reith,
NR2017,G30527,G30500,St. Georgen am Ybbsfelde,
NR2017,G30529,G30500,St. Pantaleon-Erla,
NR2017,G30530,G30500,St. Peter in der Au,
NR2017,G30531,G30500,St. Valentin,
NR2017,G30532,G30500,Seitenstetten,
NR2017,G30533,G30500,Sonntagberg,
NR2017,G30534,G30500,Strengberg,
NR2017,G30536,G30500,Viehdorf,
NR2017,G30538,G30500,Wallsee-Sindelburg,
NR2017,G30539,G30500,Weistrach,
NR2017,G30541,G30500,Winklarn,
NR2017,G30542,G30500,Wolfsbach,
NR2017,G30543,G30500,Ybbsitz,
NR2017,G30544,G30500,Zeillern,
NR2017,G30599,G30500,Wahlkarten - Amstetten,
NR2017,G30600,G3F000,Baden,
NR2017,G30601,G30600,Alland,
NR2017,G30602,G30600,Altenmarkt an der Triesting,
NR2017,G30603,G30600,Bad Vöslau,
NR2017,G30604,G30600,Baden,
NR2017,G30605,G30600,Berndorf,
NR2017,G30607,G30600,Ebreichsdorf,
NR2017,G30608,G30600,Enzesfeld-Lindabrunn,
NR2017,G30609,G30600,Furth an der Triesting,
NR2017,G30612,G30600,Günselsdorf,
NR2017,G30613,G30600,Heiligenkreuz,
NR2017,G30614,G30600,Hernstein,
NR2017,G30615,G30600,Hirtenberg,
NR2017,G30616,G30600,Klausen-Leopoldsdorf,
NR2017,G30618,G30600,Kottingbrunn,
NR2017,G30620,G30600,Leobersdorf,
NR2017,G30621,G30600,Mitterndorf an der Fischa,
NR2017,G30623,G30600,Oberwaltersdorf,
NR2017,G30625,G30600,Pfaffstätten,
NR2017,G30626,G30600,Pottendorf,
NR2017,G30627,G30600,Pottenstein,
NR2017,G30629,G30600,Reisenberg,
NR2017,G30631,G30600,Schönau an der Triesting,
NR2017,G30633,G30600,Seibersdorf,
NR2017,G30635,G30600,Sooß,
NR2017,G30636,G30600,Tattendorf,
NR2017,G30637,G30600,Teesdorf,
NR2017,G30639,G30600,Traiskirchen,
NR2017,G30641,G30600,Trumau,
NR2017,G30645,G30600,Weissenbach an der Triesting,
NR2017,G30646,G30600,Blumau-Neurißhof,
NR2017,G30699,G30600,Wahlkarten - Baden,
NR2017,G30700,G3G000,Bruck an der Leitha,
NR2017,G30701,G30700,Au am Leithaberge,
NR2017,G30702,G30700,Bad Deutsch-Altenburg,
NR2017,G30703,G30700,Berg,
NR2017,G30704,G30700,Bruck an der Leitha,
NR2017,G30706,G30700,Enzersdorf an der Fischa,
NR2017,G30708,G30700,Göttlesbrunn-Arbesthal,
NR2017,G30709,G30700,Götzendorf an der Leitha,
NR2017,G30710,G30700,Hainburg a.d. Donau,
NR2017,G30711,G30700,Haslau-Maria Ellend,
NR2017,G30712,G30700,Höflein,
NR2017,G30713,G30700,Hof am Leithaberge,
NR2017,G30715,G30700,Hundsheim,
NR2017,G30716,G30700,Mannersdorf am Leithagebirge,
NR2017,G30718,G30700,Petronell-Carnuntum,
NR2017,G30719,G30700,Prellenkirchen,
NR2017,G30721,G30700,Rohrau,
NR2017,G30722,G30700,Scharndorf,
NR2017,G30724,G30700,Sommerein,
NR2017,G30726,G30700,Trautmannsdorf an der Leitha,
