TKey,Author,Title,Year,Type,School,Country,Pages,ISBN
T4005,A1994876,Practical challenges of learning and representation for large graphs,2018,PhD,Imperial College London,United Kingdom,,
T4012,A1589189,Real-time event detection using Twitter,2018,PhD,University of Glasgow,United Kingdom,,
T4029,A843691,Inferring user needs and tasks from user interactions,2018,PhD,University College London,United Kingdom,,
T4056,A39159,Stateful data-parallel processing,2016,PhD,Imperial College London,United Kingdom,,
T4064,A2353824,Integrating and querying semantic annotations,2014,PhD,University of Oxford,United Kingdom,,
T4236,A1011152,Reweighting methods in high dimensional regression,2012,PhD,University of Oxford,United Kingdom,,
T4241,A1335158,Temporal dynamics in information retrieval,2015,PhD,University of Glasgow,United Kingdom,,
T4250,A1276179,Rule based systems for classification in machine learning context,2015,PhD,University of Portsmouth,United Kingdom,,
T4287,A274848,Designing for effective freehand gestural interaction,2013,PhD,University of Bath,United Kingdom,,
T4309,A2237213,Global connectivity; information diffusion; and the role of multilingual users in user-generated content platforms,2014,PhD,University of Oxford,United Kingdom,,
T4325,A1071345,Preference elicitation from pairwise comparisons for traceable multi-criteria decision making,2016,PhD,University of Manchester,United Kingdom,,
T4331,A1350875,ROAR: increasing the flexibility and performance of distributed search,2011,PhD,University College London,United Kingdom,,
T4333,A1140924,A planning approach to migrating domain-specific legacy systems into service oriented architecture,2012,PhD,De Montfort University,United Kingdom,,
T4363,A961651,Creating a framework for eliciting consumer satisfaction in Second Life,2012,PhD,University of Bedfordshire,United Kingdom,,
T4368,A2358464,Mobile code offloading for multiple resources,2013,PhD,Imperial College London,United Kingdom,,
T4449,A209338,Supply side optimisation in online display advertising,2015,PhD,University College London,United Kingdom,,
T4507,A1008762,Generating reference to visible objects,2013,PhD,University of Aberdeen,United Kingdom,,
T4517,A2246532,Extending graph homomorphism and simulation for real life graph matching,2011,PhD,University of Edinburgh,United Kingdom,,
T4522,A2066606,A distributed execution engine supporting data-dependent control flow,2012,PhD,University of Cambridge,United Kingdom,,
T4529,A1335508,A cartography of practice,2017,PhD,University of Kent,United Kingdom,,
T4532,A997478,Bridging the gap between JavaScript analysis and web analysis,2018,PhD,University of Oxford,United Kingdom,,
T4539,A1913778,Integrating local information for inference and optimization in machine learning,2016,PhD,University of Edinburgh,United Kingdom,,
T4566,A2378089,Fast data processing in hyper-scale systems,2015,PhD,University of Leicester,United Kingdom,,
T4569,A1696876,Named entity recognition and classification in search queries,2015,PhD,Birkbeck,United Kingdom,,
T4578,A1549477,Factorisation in relational databases,2014,PhD,University of Oxford,United Kingdom,,
T4631,A2183175,Bayesian latent variable models for the collaborative Web,2011,PhD,University of Strathclyde,United Kingdom,,
T4655,A121266,Active visual tracking in multi-agent scenarios,2018,PhD,Queen Mary University of London,United Kingdom,,
T4681,A2159154,Increasing the usability of graph databases by learning SPARQL queries and RDF data,2018,PhD,University of Oxford,United Kingdom,,
T4749,A1702618,On the interaction of function; constraint and complexity in evolutionary systems,2014,PhD,University of Southampton,United Kingdom,,
T4756,A302665,A Big Bang Big Crunch Type-2 fuzzy logic system for machine vision-based event detection and summarization in real-world ambient assisted living,2015,PhD,University of Essex,United Kingdom,,
T4806,A175166,Experimental computational simulation environments for algorithmic trading,2014,PhD,University College London,United Kingdom,,
T4811,A582867,Improving the performance of dataflow systems for deep neural network training,2017,PhD,Imperial College London,United Kingdom,,
