AKey,Name,Aliases,Affiliation,Country,Website
A32416,Lampros Papageorgiou,,,,
A32430,Kasthuri Jayarajah,,,,
A32466,Lukas M. Maas,,,,
A32530,Yulia A. Zhuk,,,,
A32679,Jiaxing Zhang,,,,
A32698,Raymond Ka Wai Sze,,,,
A32722,Andres Nötzli,,,,https://orcid.org/0000-0001-8669-0011
A32749,Wladston Viana,,,,
A32814,Jason Whitehouse,,,,
A32827,Ticiana L. Coelho da Silva,Ticiana Linhares Coelho da Silva,,,http://www.lia.ufc.br/~ticianalc/
A32838,George Sfakianakis,,,,
A32867,Mingchuan Su,,,,
A33018,Xingmin Zhao,,,,
A33029,Jayshree Agarwal,,,,
A33038,Rupa Shanbhag,,,,
A33179,Christian Bensberg,,,,
A33225,Ho Hoang Hung,,,,
A33228,Ali Neyestani,,,,
A33247,Charles Tian,,,,
A33349,Jiaqi Yang,,,,
A33361,Biplob Debnath,,,,
A33423,Erlend Aune,,,,
A33454,Jackson Borchardt,,,,
A33459,Amin Amiri Manjili,,,,
A33473,Jeremy Straub,,,,
A33516,Ayush Jain,,,,
A33557,Pravin Mittal,,,,
A33562,Michael Rauchman,,,,
A33581,Ioannis Mytilinis,,,,
A33609,Mihir Gandhi,,,,
A33629,Corne Kloppers,,,,
A33691,Amr Ebaid,,,,
A33716,Nicholas C. Weiler,,,,
A33741,Daichi Amagata,,,,
A33811,Wellington Cabrera,,,,
A33864,Digvijay S. Lamba,,,,
A33887,Srijan Kumar,,,,
A33945,Remus Rusanu,,,,
A33970,Martín Ugarte,,,,
A34107,Bingbing Zhang,,,,
A34122,Jianxing Zhao,,,,
A34227,Orestis Polychroniou,,,,
A34284,Jinyang Gao,,,,
A34322,Petri Soini,,,,
A34499,Andreas Tonder,,,,
A34502,Nina M. Goodey,,,,
A34509,Karen Hart,,,,
A34658,Brian P. Beirne,,,,
A34813,Eiko Kai,,,,
A34836,Alex Nazaruk,,,,
A34872,Jan Gray,,,,
A34944,Yingxia Shao,,,,
A34959,Clayton A. Davis,Clayton Allen Davis,,,
A34966,Eric Nöth,Eric Noeth,,,
A34988,David Hazel,,,,
A34991,Paul W. Olsen,,,,
A35034,Shanan Peters,,,,
A35047,Xianke Zhou,,,,
A35069,Christopher Schildt,Christopher J. Schildt,,,
A35139,Kevin Farlee,,,,
A35171,Kwanghyun Park,,,,
A35191,Eyad Saleh,,,,
A35202,Michael Auerbach,,,,
A35462,Jiamin Huang,,,,
A35471,Matthew Wong Johnson,,,,
A35497,Bikash Chandra,,,,
A35553,Haemi Yang,,,,
A35832,Michael Muehle,,,,
A35876,Dimitrios Georgiadis,,,,
A35884,Ben Roelens,,Ghent University,Belgium,https://scholar.google.com/citations?user=Vi1LLcIAAAAJ
A35931,Yiqun Xie,,,,
A36050,Haozhou Wang,,,,
A36195,Olga Gkountouna,,,,
A36304,Qizhi Liu,,,,
A36314,Sri Subramaniam,,,,
A36341,Yaoshu Wang,,,,
A36407,Claudio Hartmann,,,,https://orcid.org/0000-0002-5334-059X
